"1","Dunleavy/Dahlstrom","Walker/Drygas","Blank","Exhausted","Overvote"
"House District 1","3770","2543","90","480","5"
"House District 10","3770","2793","75","503","12"
"House District 11","4382","3338","49","416","5"
"House District 12","3379","2865","33","488","9"
"House District 13","2960","2287","34","504","5"
"House District 14","2356","3124","66","597","12"
"House District 15","3986","3122","63","535","3"
"House District 16","3375","4100","47","535","11"
"House District 17","2053","3714","61","626","11"
"House District 18","1099","910","28","256","4"
"House District 19","1507","1741","53","417","10"
"House District 2","3008","3773","111","671","4"
"House District 20","2416","2521","27","497","8"
"House District 21","3612","2968","47","669","17"
"House District 22","2018","1433","31","478","4"
"House District 23","5091","2700","58","482","5"
"House District 24","5287","2262","47","394","6"
"House District 25","5704","2134","57","477","6"
"House District 26","5553","1202","76","367","15"
"House District 27","5117","1123","65","361","12"
"House District 28","5347","1351","43","350","7"
"House District 29","5712","2076","49","378","5"
"House District 3","3173","5008","73","544","6"
"House District 30","5631","1873","99","516","16"
"House District 31","2592","2333","58","339","8"
"House District 32","2073","1132","25","175","1"
"House District 33","4637","1314","28","270","7"
"House District 34","4161","3149","52","322","9"
"House District 35","3301","4147","50","374","6"
"House District 36","4690","2731","70","444","17"
"House District 37","1765","1451","88","353","8"
"House District 38","1725","1498","109","404","27"
"House District 39","1819","1603","70","307","18"
"House District 4","2005","5226","62","412","8"
"House District 40","1230","999","33","212","2"
"House District 5","2839","2654","71","420","5"
"House District 6","5099","3726","99","916","7"
"House District 7","5151","1736","57","484","15"
"House District 8","6311","1857","64","554","7"
"House District 9","5112","4499","46","622","5"
"Total","144816","101016","2364","18149","348"
