"1","Gara/Cook","Walker/Drygas","Blank","Exhausted","Overvote"
"House District 1","1497","2421","90","2871","9"
"House District 10","2289","2020","75","2758","11"
"House District 11","2424","2474","49","3238","5"
"House District 12","2467","1921","33","2341","12"
"House District 13","2268","1463","34","2020","5"
"House District 14","2677","1811","66","1589","12"
"House District 15","2450","2344","63","2845","7"
"House District 16","3048","2689","47","2270","14"
"House District 17","3051","2051","61","1290","12"
"House District 18","918","609","28","735","7"
"House District 19","1693","1047","53","924","11"
"House District 2","1904","3197","111","2349","6"
"House District 20","2309","1520","27","1602","11"
"House District 21","3006","1721","47","2517","22"
"House District 22","1721","828","31","1381","3"
"House District 23","2321","2099","58","3851","7"
"House District 24","1928","1912","47","4098","11"
"House District 25","2144","1784","57","4381","12"
"House District 26","1348","1286","76","4485","18"
"House District 27","1313","1168","65","4116","16"
"House District 28","1541","1263","43","4237","14"
"House District 29","1725","1911","49","4523","12"
"House District 3","2433","3964","73","2328","6"
"House District 30","1881","1594","99","4541","20"
"House District 31","1478","2058","58","1728","8"
"House District 32","746","1148","25","1485","2"
"House District 33","1111","1561","28","3549","7"
"House District 34","1677","2794","52","3159","11"
"House District 35","2162","3320","50","2339","7"
"House District 36","1606","2631","70","3628","17"
"House District 37","1178","1332","88","1058","9"
"House District 38","1404","1473","109","750","27"
"House District 39","1201","1728","70","795","23"
"House District 4","2322","3954","62","1364","11"
"House District 40","689","1051","33","700","3"
"House District 5","1578","2283","71","2053","4"
"House District 6","3153","2186","99","4398","11"
"House District 7","1470","1721","57","4179","16"
"House District 8","1712","1711","64","5294","12"
"House District 9","3320","3145","46","3763","10"
"Total","77163","79193","2364","107532","441"
