"1","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Blank","Exhausted","Overvote"
"2","","Gara/Cook","Overvote","Walker/Drygas","","Dunleavy/Dahlstrom","Overvote","Walker/Drygas","","Dunleavy/Dahlstrom","Gara/Cook","Overvote","","",""
"House District 1","2739","299","5","635","348","92","1","757","596","256","934","0","90","132","4"
"House District 10","2692","299","0","638","437","141","1","1411","251","191","940","0","75","66","11"
"House District 11","3186","305","1","773","364","117","1","1637","330","275","1096","0","49","52","4"
"House District 12","2309","355","4","565","456","146","1","1509","219","203","934","0","33","32","8"
"House District 13","1987","346","1","467","471","159","1","1291","214","113","669","0","34","33","4"
"House District 14","1533","227","1","449","541","146","1","1762","221","159","982","0","66","56","11"
"House District 15","2773","343","4","690","463","176","0","1468","332","254","1067","1","63","72","3"
"House District 16","2239","337","3","607","504","189","0","2018","328","259","1494","1","47","31","11"
"House District 17","1267","235","2","394","603","155","1","2057","256","160","1240","1","61","23","10"
"House District 18","712","109","4","228","233","46","1","529","70","65","244","2","28","23","3"
"House District 19","886","209","1","284","379","127","0","978","161","101","500","1","53","38","10"
"House District 2","2204","164","2","562","526","76","0","1138","897","279","1459","0","111","145","4"
"House District 20","1565","293","6","393","460","159","3","1394","199","151","776","1","27","37","5"
"House District 21","2475","416","6","490","627","225","1","1737","231","154","845","1","47","42","16"
"House District 22","1327","266","1","300","424","124","2","905","137","83","307","1","31","54","2"
"House District 23","3783","353","2","803","414","150","0","1404","249","220","826","1","58","68","5"
"House District 24","4022","391","6","736","318","132","1","1086","243","217","716","0","47","76","5"
"House District 25","4273","546","6","697","369","182","0","1047","237","152","697","1","57","108","6"
"House District 26","4379","393","4","686","261","91","1","602","129","119","352","0","76","106","14"
"House District 27","4005","381","5","604","250","122","1","559","144","134","285","1","65","111","11"
"House District 28","4159","440","7","613","272","128","0","701","138","155","356","1","43","78","7"
"House District 29","4443","457","8","684","298","120","1","849","327","218","682","0","49","80","4"
"House District 3","2244","218","0","625","460","86","0","1669","837","376","2125","1","73","84","6"
"House District 30","4379","463","4","665","354","120","0","944","244","121","563","1","99","162","16"
"House District 31","1687","262","1","540","298","102","1","815","392","242","882","2","58","41","7"
"House District 32","1449","169","1","408","139","46","0","392","179","136","424","1","25","36","1"
"House District 33","3466","380","1","709","187","81","1","462","230","195","427","0","28","83","6"
"House District 34","3078","305","3","719","241","56","1","1074","352","261","1462","0","52","81","8"
"House District 35","2279","264","1","665","314","92","0","1492","520","279","1854","2","50","60","6"
"House District 36","3520","331","1","740","336","98","1","840","573","294","1024","0","70","108","16"
"House District 37","1012","262","4","366","307","121","3","485","388","171","406","1","88","46","5"
"House District 38","701","287","4","539","355","194","4","564","319","258","356","1","109","49","23"
"House District 39","750","322","7","598","262","142","2","473","362","290","473","5","70","45","16"
"House District 4","1306","173","3","438","354","85","0","1710","616","243","2655","2","62","58","8"
"House District 40","657","181","1","319","169","72","0","267","277","181","273","1","33","43","2"
"House District 5","1971","251","0","533","338","84","1","904","471","239","1040","0","71","82","4"
"House District 6","4106","288","4","590","624","111","0","2130","378","161","1057","0","99","292","7"
"House District 7","3981","346","2","698","286","124","1","713","300","211","512","0","57","198","14"
"House District 8","5058","399","5","728","318","121","0","874","239","192","552","0","64","236","7"
"House District 9","3719","363","5","877","578","148","0","2231","397","300","1570","1","46","44","5"
"Total","104321","12428","126","23055","14938","4886","33","44878","12983","8068","35056","31","2364","3211","315"
