"1","Menard","Wright","Blank","Exhausted","Overvote"
"28-450 Lakes No. 1","211","174","68","101","1"
"28-455 Lakes No. 2","144","149","50","95","0"
"28-460 Seldon No. 1","223","253","89","204","1"
"28-465 Seldon No. 2","330","299","149","247","3"
"28-470 Seward Meridian","150","133","63","78","0"
"28-475 Trunk","213","257","120","163","3"
"28-480 Wasilla Lake","140","106","46","92","0"
"District 28 - Absentee","271","213","171","265","7"
"District 28 - Early Voting","545","437","199","386","4"
"District 28  - Question","21","17","190","17","0"
"Total","2248","2038","1145","1648","19"
