"1","McCabe","Mindiola","Blank","Exhausted","Overvote"
"30-550 Anderson/Clear","80","19","8","15","0"
"30-555 Big Lake","824","127","39","129","3"
"30-560 Cantwell","40","25","7","15","0"
"30-565 Denali Park","13","52","12","2","0"
"30-570 East Schrock","54","15","6","21","0"
"30-575 Healy","178","100","37","19","0"
"30-580 Houston","363","73","39","89","1"
"30-585 Knik Goose Bay No. 4","704","114","44","112","0"
"30-590 Trapper Creek","94","20","8","38","1"
"30-595 Susitna","267","85","20","102","1"
"30-600 Talkeetna","117","126","23","54","0"
"30-605 Willow","520","153","26","241","1"
"District 30 - Early Voting - 1","440","132","31","76","3"
"District 30 - Early Voting - 2","5","18","1","1","0"
"District 30 - Question - 1","46","7","122","13","0"
"District 30 - Question - 2","13","5","31","0","0"
"House District 30 - Judicial District 3","838","472","123","177","4"
"House District 30 - Judicial District 4","110","149","26","15","1"
"Total","4706","1692","603","1119","15"
