"1","Kiehl","Write-in","Blank"
"03-300 Auke Bay","399","16","129"
"03-305 Lynn Canal","352","14","108"
"03-310 Melvin Park","389","22","140"
"03-315 Mendenhall Glacier","646","57","231"
"03-320 Thunder Mountain","610","34","208"
"03-325 Gustavus","158","4","27"
"03-330 Haines No. 1","503","25","141"
"03-335 Haines No. 2","71","6","38"
"03-340 Klukwan","41","2","2"
"03-345 Skagway","303","5","42"
"04-100 Douglas","484","10","77"
"04-105 Juneau Airport Area","184","33","76"
"04-110 Juneau No. 1","416","18","93"
"04-115 Juneau No. 2","498","10","58"
"04-120 Juneau No. 3","248","12","39"
"04-125 Lemon Creek","365","20","103"
"04-130 Glacier Valley Area","314","19","83"
"04-135 North Douglas","391","14","85"
"District 3 - Absentee","1395","43","352"
"District 3 - Early Voting","1648","65","359"
"District 3  - Question","119","11","89"
"District 4 - Absentee","1153","47","194"
"District 4 - Early Voting","1996","61","309"
"District 4  - Question","220","9","74"
"Total","12903","557","3057"
