"1","Babcock","Babcock","Babcock","Babcock","Babcock","Babcock","Babcock","Babcock","Babcock","Babcock","Babcock","Babcock","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Cizek","Cizek","Cizek","Cizek","Cizek","Cizek","Cizek","Cizek","Cizek","Cizek","Cizek","Cizek","Overvote","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank"
"2","","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Cizek","Cizek","Cizek","Overvote","Write-in","Write-in","Write-in","","Babcock","Babcock","Babcock","Babcock","Cizek","Cizek","Cizek","Cizek","Overvote","Write-in","Write-in","Write-in","","Babcock","Babcock","Babcock","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Overvote","Write-in","Write-in","Write-in","","","Babcock","Babcock","Babcock","Bjorkman","Bjorkman","Bjorkman","Cizek","Cizek","Cizek",""
"3","","","Cizek","Overvote","Write-in","","Bjorkman","Write-in","","","Bjorkman","Cizek","","","Cizek","Overvote","Write-in","","Babcock","Overvote","Write-in","","","Babcock","Cizek","","","Bjorkman","Write-in","","Babcock","Overvote","Write-in","","","Babcock","Bjorkman","","","","Bjorkman","Cizek","","Babcock","Cizek","","Babcock","Bjorkman",""
"07-005 Central","186","119","62","0","3","13","2","0","0","0","0","0","152","76","41","0","1","22","13","0","0","0","2","0","0","36","8","10","0","3","16","0","0","0","0","0","1","2","3","0","0","0","0","0","0","0","0","0","38"
"07-010 K Beach","241","160","39","0","1","18","3","2","0","0","0","0","232","118","53","0","0","24","32","1","0","1","0","0","1","47","2","9","0","7","17","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","38"
"07-015 Kenai No. 1","128","106","60","0","3","5","9","1","0","3","0","0","201","99","49","0","3","42","34","0","1","1","2","0","0","49","4","9","0","5","18","0","0","1","0","0","1","1","1","0","0","0","0","1","0","1","0","0","35"
"07-020 Kenai No. 2","80","59","26","0","2","5","4","0","0","1","0","0","125","52","33","0","2","20","18","0","0","0","2","0","1","24","5","5","0","3","14","0","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","16"
"07-025 Kenai No. 3","76","66","14","1","1","5","1","0","0","3","0","0","112","43","22","0","0","12","14","0","0","0","0","0","0","22","4","5","0","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19"
"07-030 Soldotna","198","118","43","0","2","4","6","0","0","0","0","0","217","95","49","0","1","35","36","0","3","0","0","0","0","51","6","7","0","11","20","0","0","0","0","1","0","1","3","0","0","0","0","0","0","0","0","0","41"
"08-035 Bear Creek","89","82","22","0","1","8","3","0","0","0","0","0","115","48","34","0","0","18","19","0","1","0","3","0","0","64","4","14","0","11","25","0","0","0","2","0","0","0","3","0","0","0","1","0","0","0","0","0","69"
"08-040 Cooper Landing","17","8","1","0","0","0","0","0","0","0","0","0","39","12","7","0","0","13","7","0","0","0","0","0","0","7","0","2","0","5","8","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","13"
"08-045 Funny River No. 1","75","50","18","0","0","3","8","0","0","0","0","0","91","49","14","0","0","9","12","0","0","0","0","0","0","22","3","5","0","4","6","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","25"
"08-050 Funny River No. 2","66","51","15","0","0","12","11","0","0","1","0","0","90","37","12","0","0","10","13","0","1","0","0","0","0","20","5","6","0","4","7","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","2","20"
"08-055 Hope","8","6","3","0","0","0","0","0","0","0","0","0","5","2","2","0","0","4","0","0","0","0","0","0","0","14","0","2","0","3","7","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","6"
"08-060 Mackey Lake","143","82","23","0","0","5","11","0","0","2","0","0","154","80","25","0","0","24","25","0","0","0","0","0","0","40","3","7","0","9","12","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","23"
"08-065 Moose Pass","16","12","2","0","0","0","1","0","0","0","0","0","38","18","7","0","0","6","6","0","1","0","2","0","0","17","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9"
"08-070 Nikiski","135","90","24","0","1","15","20","2","0","10","0","1","233","114","49","0","3","25","33","0","1","1","2","0","1","36","3","8","0","8","7","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","25"
"08-075 Salamatof","148","96","26","1","0","8","16","0","0","2","1","0","214","153","56","0","2","32","41","0","0","0","2","2","0","31","2","12","0","10","20","0","0","0","2","0","0","0","3","0","1","0","0","0","0","0","0","0","19"
"08-080 Sterling No. 1","163","111","33","0","2","7","7","0","0","0","0","0","159","88","36","0","2","24","23","0","0","0","0","0","0","38","5","8","0","8","16","0","0","0","1","0","0","1","4","0","0","0","0","0","0","0","0","0","35"
"08-085 Sterling No. 2","189","152","46","0","0","17","14","0","0","2","1","0","164","98","22","0","1","20","24","0","1","0","1","0","1","37","5","9","0","8","14","0","0","0","0","0","0","1","2","0","0","0","0","1","0","0","0","0","48"
"District 7 - Absentee","375","246","77","0","9","16","22","0","0","3","1","1","393","128","69","1","5","64","44","0","1","1","4","0","1","118","15","12","0","21","44","0","1","1","1","0","1","1","13","0","3","1","0","4","0","1","1","1","137"
"District 7 - Early Voting","157","125","33","0","2","12","11","1","0","0","1","0","226","67","43","0","1","37","30","0","2","2","2","0","1","41","3","4","0","4","18","0","0","0","0","0","0","1","5","0","0","0","0","0","0","0","0","0","41"
"District 7  - Question","18","12","5","0","0","0","0","0","0","0","0","0","11","6","3","0","0","3","2","0","0","0","0","0","0","13","0","1","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49"
"District 8 - Absentee","370","227","93","0","3","28","22","1","1","0","0","0","363","162","82","0","3","49","63","0","3","2","10","0","2","167","4","26","2","21","54","1","2","0","4","0","5","4","29","0","1","0","18","2","6","1","0","1","134"
"District 8 - Early Voting","157","134","27","0","4","17","19","0","0","0","0","1","189","80","23","0","1","25","32","0","0","0","2","0","0","74","2","9","0","13","19","0","0","0","0","0","0","0","8","0","0","0","2","0","0","0","0","0","64"
"District 8  - Question","9","6","2","0","0","0","1","0","0","0","0","0","8","7","5","0","0","0","1","0","0","0","1","0","0","5","0","3","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","45"
"Total","3044","2118","694","2","34","198","191","7","1","27","4","3","3531","1632","736","1","25","518","522","1","15","8","35","2","8","973","84","173","2","160","356","1","3","2","13","1","8","15","84","1","6","1","22","8","7","4","2","4","949"
