"1","Herndon","Tobin","Blank","Overvote"
"17-505 Downtown Anchorage No. 1","121","203","48","0"
"17-510 Downtown Anchorage No. 2","127","348","63","0"
"17-515 Downtown Anchorage No. 3","117","198","48","0"
"17-520 Downtown Anchorage No. 4","181","360","73","1"
"17-525 Downtown Anchorage No. 5","143","233","47","0"
"17-530 Downtown Anchorage No. 6","86","177","33","1"
"17-535 Downtown Anchorage No. 7","133","225","38","0"
"18-550 Government Hill","102","194","47","0"
"18-555 JBER","239","170","74","0"
"18-560 North Muldoon","115","149","32","0"
"18-565 Ship Creek","30","47","10","0"
"District 17 - Absentee","309","1125","241","2"
"District 17 - Early Voting","384","1022","144","1"
"District 17  - Question","28","36","169","0"
"District 18 - Absentee","262","367","95","1"
"District 18 - Early Voting","86","174","29","0"
"District 18  - Question","2","1","71","0"
"Total","2465","5029","1262","6"
