"1","Hoffman","Keppel","Blank","Overvote"
"37-700 Akutan","27","11","8","2"
"37-702 Aleknagik","36","10","5","0"
"37-704 Aleutians No. 1","10","8","2","0"
"37-706 Aleutians No. 2","220","175","38","0"
"37-707 Aniak","62","33","1","0"
"37-708 Chignik","4","6","0","0"
"37-709 Chuathbaluk","11","10","0","0"
"37-710 Clark's Point","11","0","1","0"
"37-712 Cold Bay","5","5","4","0"
"37-713 Crooked Creek","11","1","0","0"
"37-714 Dillingham","342","192","42","1"
"37-716 Egegik","3","2","0","0"
"37-718 Ekwok","17","13","4","0"
"37-719 Goodnews Bay","34","15","0","0"
"37-720 King Cove","57","46","9","0"
"37-722 King Salmon","53","45","3","0"
"37-724 Koliganek","47","7","3","0"
"37-726 Lake Iliamna No. 1","53","39","8","0"
"37-728 Lake Iliamna No. 2","31","25","4","0"
"37-730 Levelock","7","1","1","0"
"37-731 Lower Kalskag","40","11","0","0"
"37-732 Manokotak","64","14","2","0"
"37-734 Naknek","75","48","9","0"
"37-736 New Stuyahok","123","18","5","2"
"37-738 Nondalton","26","13","1","0"
"37-740 Pedro Bay","4","3","1","0"
"37-742 Port Heiden","10","9","4","0"
"37-744 Sand Point","53","38","6","0"
"37-746 Sleetmute","15","8","3","0"
"37-748 South Naknek","16","3","0","0"
"37-752 St. Paul Island","69","20","7","1"
"37-754 Togiak","99","27","2","0"
"37-756 Tyonek","14","7","4","0"
"37-758 Upper Kalskag","31","16","2","0"
"38-800 Akiachak","87","34","10","0"
"38-802 Akiak","47","64","8","0"
"38-806 Atmautluak","26","20","0","0"
"38-808 Bethel No. 1","311","178","18","1"
"38-810 Bethel No. 2","351","208","19","0"
"38-812 Chefornak","57","32","4","1"
"38-813 Chevak","107","29","8","0"
"38-818 Eek","56","22","2","0"
"38-822 Kasigluk","55","17","1","0"
"38-824 Kipnuk","63","60","2","1"
"38-826 Kongiganak","46","40","0","0"
"38-828 Kwethluk","90","61","6","1"
"38-830 Kwigillingok","32","23","1","0"
"38-836 Mekoryuk","40","20","4","0"
"38-838 Napakiak","55","20","2","0"
"38-840 Napaskiak","65","32","2","0"
"38-842 Newtok","16","11","2","0"
"38-844 Nightmute","27","14","2","0"
"38-846 Nunapitchuk","62","51","0","0"
"38-848 Quinhagak","67","61","2","0"
"38-852 Toksook Bay","98","50","4","1"
"38-854 Tuluksak","46","14","0","0"
"38-856 Tuntutuliak","66","60","5","0"
"38-858 Tununak","53","25","4","0"
"District 37 - Early Voting - 1 ","45","24","4","0"
"District 37  - Question - 1","20","9","51","0"
"District 37  - Question - 2","1","2","6","0"
"District 38 - Absentee","239","84","33","0"
"District 38 - Early Voting","42","12","0","0"
"District 38  - Question","69","35","68","1"
"House District 37 - Judicial District 3","427","225","80","2"
"House District 37 - Judicial District 4","9","11","5","0"
"Total","4455","2427","532","14"
