"1","Overvote","Begich","Palin","Exhausted","Blank"
"House District 1","7","2411","1485","449","90"
"House District 10","4","3056","1506","700","63"
"House District 11","8","3801","1687","721","51"
"House District 12","11","2827","1261","660","79"
"House District 13","10","2279","1196","522","69"
"House District 14","12","2603","1119","861","53"
"House District 15","6","3537","1512","723","62"
"House District 16","4","3799","1389","993","75"
"House District 17","7","2714","978","1074","58"
"House District 18","5","654","414","238","16"
"House District 19","4","1428","627","508","39"
"House District 2","7","2422","1619","859","96"
"House District 20","8","2156","1065","605","36"
"House District 21","7","3168","1418","749","66"
"House District 22","8","1376","754","325","36"
"House District 23","0","3363","1995","580","82"
"House District 24","7","3377","2072","450","83"
"House District 25","8","3225","2443","434","109"
"House District 26","4","2186","2474","253","98"
"House District 27","7","1968","2377","235","71"
"House District 28","4","2395","2463","265","60"
"House District 29","8","2779","2493","407","139"
"House District 3","5","3747","1434","1352","89"
"House District 30","16","2656","2829","438","116"
"House District 31","7","1861","1243","476","56"
"House District 32","3","937","982","194","52"
"House District 33","11","1627","2221","222","90"
"House District 34","10","2735","2096","693","98"
"House District 35","5","2965","1701","988","86"
"House District 36","21","2788","2116","643","199"
"House District 37","22","1203","639","258","95"
"House District 38","31","1198","428","287","68"
"House District 39","22","1435","468","245","123"
"House District 4","14","3303","973","1505","72"
"House District 40","8","828","405","172","149"
"House District 5","9","2002","1394","637","90"
"House District 6","4","3876","2616","1010","161"
"House District 7","3","2462","2531","406","97"
"House District 8","3","2792","3311","446","140"
"House District 9","13","5262","1878","1097","98"
"House District 99","0","16","4","12","1"
"Total","353","101217","63616","23692","3411"
