"1","Chesbro","Kelley","Blank","Exhausted","Overvote"
"House District 1","1926","2075","166","2704","17"
"House District 10","2475","1908","55","2702","13"
"House District 11","3051","1932","19","3176","12"
"House District 12","2811","1645","107","2194","17"
"House District 13","2405","1397","123","1845","20"
"House District 14","2886","1296","30","1922","21"
"House District 15","2993","1863","30","2815","8"
"House District 16","3754","1642","148","2509","15"
"House District 17","3622","961","94","1771","17"
"House District 18","903","697","19","666","12"
"House District 19","1862","688","21","1142","15"
"House District 2","2514","1792","65","3188","8"
"House District 20","2537","1205","105","1594","28"
"House District 21","3137","1710","123","2318","25"
"House District 22","1470","1117","36","1329","12"
"House District 23","2640","2339","34","3313","10"
"House District 24","2125","2606","87","3159","19"
"House District 25","2413","2806","220","2905","34"
"House District 26","1302","2894","37","2958","22"
"House District 27","1356","2430","40","2822","30"
"House District 28","1563","2637","78","2796","24"
"House District 29","1995","2861","229","3103","32"
"House District 3","3990","1660","45","3094","15"
"House District 30","1799","3013","43","3254","26"
"House District 31","2011","1452","27","1817","23"
"House District 32","969","1241","45","1147","4"
"House District 33","1141","2747","133","2217","18"
"House District 34","2401","2649","34","2587","22"
"House District 35","3565","1879","25","2399","10"
"House District 36","2332","2289","161","3143","27"
"House District 37","1158","940","80","1458","29"
"House District 38","1220","1153","62","1294","34"
"House District 39","1583","820","27","1358","29"
"House District 4","4259","1184","193","2057","20"
"House District 40","814","662","106","881","13"
"House District 5","2030","1588","113","2246","12"
"House District 6","3148","2844","70","3766","19"
"House District 7","1644","2202","35","3544","18"
"House District 8","1775","3018","100","3875","25"
"House District 9","4151","2410","108","3601","14"
"House District 99","84","4","0","16","0"
"Total","91814","74256","3273","96685","769"
